Source,Target,Type,id,weight
1900877,4258465,Directed,333,1
1900857,3509405,Directed,337,1
1900857,2161057,Directed,338,1
1900857,3296790,Directed,340,1
1320593,2932295,Directed,341,1
1320593,2932215,Directed,342,1
1320593,2062393,Directed,343,1
1320578,2166871,Directed,344,1
1900868,4030729,Directed,345,1
1900868,2305186,Directed,346,1
1900868,2448673,Directed,348,1
1900881,3129356,Directed,350,1
1900881,2995792,Directed,351,1
1900881,3032959,Directed,352,1
1900881,2912700,Directed,353,1
1900862,3933488,Directed,354,1
1900862,4094295,Directed,355,1
1900866,3480596,Directed,357,1
1900866,3521692,Directed,358,1
1900866,3887184,Directed,359,1
1900866,3731694,Directed,360,1
1900866,2178006,Directed,361,1
1900873,2231949,Directed,364,1
1320602,3303528,Directed,365,1
1320602,3427704,Directed,366,1
1320602,3050669,Directed,367,1
1320602,3083681,Directed,368,1
1320602,3129374,Directed,369,1
1320602,1711545,Directed,370,1
1320602,2932349,Directed,371,1
679307,2001411,Directed,372,1
679307,2445947,Directed,373,1
679307,2161057,Directed,374,1
679307,679312,Directed,375,1
1900879,2025455,Directed,376,1
1900879,3296790,Directed,377,1
1900879,2437737,Directed,378,1
1900879,2342596,Directed,380,1
1900879,2025461,Directed,381,1
1900879,2437741,Directed,382,1
1900879,3097278,Directed,383,1
1900879,3609769,Directed,384,1
1900879,2346444,Directed,385,1
1900879,3332689,Directed,386,1
1900879,3129382,Directed,387,1
1900879,3185257,Directed,388,1
1900879,3447704,Directed,389,1
1900879,2912715,Directed,390,1
1900879,3332693,Directed,391,1
1900879,2912723,Directed,392,1
1900879,4291892,Directed,393,1
1900879,2912730,Directed,394,1
1900874,2932237,Directed,395,1
1900874,2437751,Directed,396,1
1900874,4134763,Directed,397,1
1900874,3533212,Directed,398,1
1900874,2280808,Directed,399,1
1900874,3254784,Directed,400,1
1900874,2548496,Directed,401,1
1900874,2912709,Directed,402,1
1900874,2280618,Directed,403,1
1900871,2769256,Directed,404,1
1900871,3410591,Directed,405,1
1900889,3129371,Directed,406,1
1900886,1900886,Directed,407,1
1900888,4453611,Directed,408,1
1900888,4168353,Directed,409,1
1900888,2177999,Directed,410,1
1900888,2912709,Directed,411,1
1900888,2001485,Directed,412,1
1900888,2685966,Directed,413,1
1900888,2797162,Directed,414,1
1900888,3410591,Directed,415,1
1900888,2912727,Directed,416,1
1900888,2567939,Directed,417,1
2177993,2603269,Directed,431,1
2178002,2437744,Directed,432,1
2178002,3050668,Directed,433,1
2178002,4031142,Directed,434,1
2177991,2734388,Directed,435,1
1900883,2166871,Directed,437,1
1900883,4251088,Directed,439,1
1900883,4172514,Directed,440,1
1900883,3836132,Directed,442,1
1900883,2912705,Directed,444,1
1900885,3097278,Directed,445,1
1900885,3315502,Directed,446,1
1900885,4168353,Directed,447,1
2177999,2305186,Directed,448,1
2177999,2820520,Directed,449,1
2177999,2854942,Directed,450,1
2177999,3315492,Directed,451,1
2177999,2912715,Directed,453,1
2177999,3303544,Directed,455,1
2177999,4453611,Directed,456,1
2177999,2912722,Directed,457,1
2178001,2231954,Directed,458,1
2178001,2437752,Directed,461,1
2177998,2854954,Directed,462,1
2178004,4134772,Directed,463,1
2178004,3521041,Directed,464,1
2178004,4033916,Directed,465,1
1900893,4318618,Directed,466,1
1900893,4445955,Directed,468,1
1900893,3609769,Directed,469,1
1900893,3303544,Directed,470,1
1900893,2820520,Directed,471,1
1900893,2177999,Directed,472,1
1900893,3887184,Directed,474,1
1900893,2437742,Directed,475,1
1900893,4453611,Directed,476,1
1900887,4030729,Directed,477,1
1900887,3480596,Directed,478,1
1900887,3465057,Directed,479,1
1900887,2178006,Directed,480,1
1900887,3907426,Directed,481,1
1900887,3509420,Directed,482,1
1900887,3699939,Directed,483,1
1900887,2548258,Directed,484,1
1900887,2231954,Directed,485,1
1900887,3509405,Directed,486,1
1900887,3274250,Directed,487,1
1900887,3296790,Directed,488,1
2178010,2567939,Directed,499,1
2178010,4168353,Directed,500,1
2178010,3887184,Directed,501,1
2178010,4453611,Directed,502,1
2178010,2685962,Directed,504,1
1900872,3097264,Directed,505,1
1900872,3609802,Directed,507,1
1900872,2820520,Directed,508,1
1900872,3480596,Directed,509,1
1900872,3315492,Directed,510,1
1900872,2912717,Directed,511,1
1900872,3303544,Directed,512,1
1900872,2437752,Directed,513,1
1900872,4453615,Directed,514,1
2177994,2755033,Directed,516,1
2177994,3480589,Directed,517,1
2177994,2876601,Directed,518,1
1900892,2346444,Directed,519,1
1900892,3172575,Directed,520,1
1900892,2437751,Directed,521,1
1900892,1903948,Directed,522,1
2177997,4318618,Directed,524,1
2177997,3129356,Directed,526,1
2177996,3307437,Directed,528,1
